capture_sec,capture_nanosec,target3d_in_age_ms,target3d_compute_ms,target3d_out_age_ms,depth_vs_color_skew_ms,skew_if_latest_ms,depth_valid
1785992031,736127686,192.201,0.516,192.608,,133.364,0
1785992031,836150879,146.529,0.506,146.944,,66.688,0
1785992031,902838379,130.371,3839.556,3969.806,0.0,66.693,1
1785992035,240627686,640.566,2.925,643.346,-3271.096,-3271.096,1
1785992035,307569824,617.424,7.461,624.753,502.188,502.188,1
1785992035,374515869,563.484,2.4,565.761,435.242,502.214,1
1785992035,407990479,535.601,2.804,538.268,401.768,468.739,1
1785992035,508419434,440.985,2.963,443.8,301.339,368.31,1
1785992035,541897705,415.025,3.531,418.397,267.86,334.832,1
1785992035,575376953,387.963,2.344,390.205,234.381,301.353,1
1785992035,642338135,328.661,2.257,330.787,167.42,267.728,1
1785992035,675820313,301.765,2.548,304.185,133.938,234.246,1
1785992035,742787354,241.817,3.82,245.501,66.971,167.279,1
1785992035,776272217,215.629,2.771,218.279,33.486,133.794,1
1785992035,843244873,154.621,2.357,156.852,33.485,66.821,1
1785992035,910066162,127.925,4.23,132.025,0.0,66.672,1
1785992035,976738281,120.619,3.204,123.708,0.0,66.671,1
1785992036,43409180,94.817,2.436,97.137,0.0,33.335,1
1785992036,110079346,104.285,3.587,107.74,0.0,33.335,1
1785992036,143414063,110.74,2.392,113.004,0.0,0.0,1
1785992036,176748291,126.567,2.435,128.896,0.0,66.668,1
1785992036,243416260,101.123,3.179,104.163,0.0,33.333,1
1785992036,310083252,92.813,13.707,106.392,0.0,33.333,1
1785992036,343416260,111.382,3.003,114.255,0.0,33.333,1
1785992036,376749023,112.523,3.665,116.069,0.0,33.333,1
1785992036,410081543,124.36,2.406,126.658,0.0,66.664,1
1785992036,476745850,93.53,2.597,96.018,0.0,33.332,1
1785992036,510077637,102.994,5.652,108.492,0.0,33.332,1
1785992036,543409180,106.786,2.846,109.427,0.0,33.331,1
1785992036,576740479,120.864,2.848,123.598,0.0,66.662,1
1785992036,643402100,93.145,2.23,95.263,0.0,33.331,1
1785992036,676732666,96.214,3.216,99.293,0.0,33.33,1
1785992036,710062744,112.699,2.368,114.953,0.0,0.0,1
1785992036,743392578,126.062,2.149,128.103,-33.33,66.659,1
1785992036,810051758,98.04,2.809,100.723,0.0,33.329,1
1785992036,843380859,116.206,6.272,120.028,0.0,33.33,1
1785992036,876710449,108.922,3.387,112.164,0.0,33.335,1
1785992036,910045898,117.992,3.869,121.742,0.0,66.67,1
1785992036,976716064,93.071,2.296,95.26,0.0,33.335,1
1785992037,10050781,106.275,2.432,108.572,0.0,33.334,1
1785992037,43385254,130.648,11.454,141.963,0.0,66.668,1
1785992037,110053467,126.527,2.514,128.931,0.0,66.667,1
1785992037,176720947,105.004,5.919,110.793,0.0,33.333,1
1785992037,210054199,126.043,2.363,128.268,0.0,66.666,1
1785992037,276720215,100.831,2.914,103.578,0.0,33.333,1
1785992037,310052979,137.095,7.688,144.651,0.0,66.665,1
1785992037,376717529,122.827,6.577,129.204,0.0,33.332,1
1785992037,410049316,146.257,2.384,148.524,0.0,33.332,1
1785992037,510043945,121.098,5.868,126.847,0.0,33.331,1
1785992037,543374756,140.598,2.563,143.038,0.0,33.331,1
1785992037,576705566,159.742,2.723,162.316,0.0,33.331,1
1785992037,610036133,186.427,9.831,196.127,0.0,66.66,1
1785992037,676696533,205.222,4.936,209.986,0.0,99.989,1
1785992037,743356201,183.084,2.229,185.198,33.329,99.988,1
1785992037,843343750,160.581,2.484,162.951,0.0,100.002,1
1785992037,943346191,105.674,8.863,114.411,0.0,33.336,1
1785992037,976682373,125.872,2.513,128.267,0.0,66.672,1
1785992038,10018555,127.627,2.624,130.117,0.0,66.671,1
1785992038,76689941,131.373,5.431,136.688,0.0,66.671,1
1785992038,143360840,115.365,2.345,117.595,0.0,33.335,1
1785992038,176695801,188.927,2.263,191.075,0.0,133.338,1
1785992038,276699951,159.636,2.135,161.624,0.0,100.002,1
1785992038,376702393,94.075,3.874,97.835,0.0,33.334,1
1785992038,410036133,98.843,2.578,101.309,0.0,33.333,1
1785992038,443369629,114.959,2.992,117.813,0.0,33.333,1
1785992038,476702881,149.573,2.12,151.571,0.0,66.666,1
1785992038,543368896,131.096,2.133,133.12,0.0,66.666,1
1785992038,610034424,121.39,2.433,123.711,0.0,66.664,1
1785992038,676698730,132.122,3.694,135.539,0.0,33.332,1
1785992038,743362549,154.11,3.16,157.152,0.0,66.663,1
1785992038,810025635,155.038,3.485,158.391,0.0,66.567,1
1785992038,876593018,164.992,4.005,168.863,0.0,100.345,1
1785992038,976937988,130.685,2.537,133.104,0.0,33.45,1
1785992039,10387939,173.401,4.245,177.526,0.0,66.902,1
1785992039,77290283,190.251,2.522,192.653,0.0,0.0,1
1785992039,110742676,194.284,2.791,196.951,0.0,0.0,1
1785992039,144196045,217.564,2.518,219.971,0.0,0.0,1
