wall_time_s,tick,cpu_cores_camera,majflt_camera,last_cpu_camera,rss_kb_camera,swap_kb_camera,nonvol_ctxt_camera,cpu_cores_detector,majflt_detector,last_cpu_detector,rss_kb_detector,swap_kb_detector,nonvol_ctxt_detector,cpu_cores_worker,rss_kb_worker,cpu_cores_pick_logic,majflt_pick_logic,last_cpu_pick_logic,rss_kb_pick_logic,swap_kb_pick_logic,nonvol_ctxt_pick_logic,cpu_cores_target_3d,majflt_target_3d,last_cpu_target_3d,rss_kb_target_3d,swap_kb_target_3d,nonvol_ctxt_target_3d,cpu_cores_target_base,majflt_target_base,last_cpu_target_base,rss_kb_target_base,swap_kb_target_base,nonvol_ctxt_target_base,cpu_cores_static_tf,majflt_static_tf,last_cpu_static_tf,rss_kb_static_tf,swap_kb_static_tf,nonvol_ctxt_static_tf,sys_cpu_pct_total,sys_cpu_pct_cpu0,sys_cpu_pct_cpu1,sys_cpu_pct_cpu2,sys_cpu_pct_cpu3,mem_available_kb,swap_free_kb,cma_free_kb,ams_in10_input,ams_in11_input,ams_in12_input,ams_in13_input,ams_in14_input,ams_in15_input,ams_in16_input,ams_in17_input,ams_in18_input,ams_in19_input,ams_in1_input,ams_in20_input,ams_in21_input,ams_in22_input,ams_in23_input,ams_in24_input,ams_in25_input,ams_in26_input,ams_in27_input,ams_in2_input,ams_in3_input,ams_in4_input,ams_in5_input,ams_in6_input,ams_in7_input,ams_in8_input,ams_in9_input,ams_temp1_input,ams_temp2_input,ams_temp3_input,pwmfan_pwm1,ina260_u14_curr1_input,ina260_u14_in1_input,ina260_u14_power1_input,worker_restart_count,pss_kb_camera,pss_kb_detector,pss_kb_pick_logic,pss_kb_target_3d,pss_kb_target_base,pss_kb_static_tf,majflt_worker,last_cpu_worker,swap_kb_worker,nonvol_ctxt_worker,pss_kb_worker
1785992018.32,1,0.5466,0,2,63232,0,715,0.5267,0,2,44940,0,695,,,0.4571,0,1,15528,0,1120,0.6062,0,0,21332,0,1386,0.477,0,1,19000,0,1203,0.0099,0,1,36880,0,369,0.748,0.9918,1.0,1.0,0.0,2071752,29359100,103972,1794,1198,1782,1782,1783,1783,853,1796,596,718,1198,1801,1250,0,855,842,844,1797,599,0,714,856,1797,1790,843,841,839,31101,31288,31459,15,1202,5016,6030000,0,,,,,,,,,,,
1785992019.384,2,0.1083,0,2,65864,0,715,0.7383,0,2,47492,0,1165,,,0.443,0,1,30216,0,1759,0.5709,0,2,43428,0,2306,0.5119,0,2,32976,0,1920,0.0,0,1,36880,0,369,0.7465,0.9906,1.0,1.0,0.0,2035596,29359100,86612,1794,1198,1782,1783,1783,1784,854,1798,596,718,1199,1802,1249,0,858,842,834,1798,599,0,714,857,1796,1794,842,841,837,29516,31847,29858,15,1206,5016,6050000,0,,,,,,,,,,,
1785992020.384,3,0.0503,0,2,66048,0,715,0.4925,0,2,47936,0,1893,,,0.4221,0,1,53896,0,2410,0.5427,0,2,46980,0,2798,0.3216,0,1,45620,0,2347,0.0201,0,1,37224,0,369,0.7481,0.98,1.0,1.0,0.0,2001384,29359100,70244,1794,1200,1783,1784,1782,1783,854,1794,596,717,1198,1802,1251,0,858,845,836,1799,600,0,715,854,1797,1794,841,841,835,31179,31801,31365,15,1200,5015,6020000,0,,,,,,,,,,,
1785992021.332,4,0.0602,0,2,66184,0,715,0.2709,0,0,49840,0,2281,,,0.2809,0,1,57400,0,3351,0.3511,0,2,68324,0,3177,0.2709,0,1,46420,0,2865,0.0201,0,1,37224,0,383,0.7493,1.0,1.0,1.0,0.0,1972876,29359100,56728,1794,1198,1782,1782,1782,1784,856,1798,597,716,1197,1800,1251,0,858,844,841,1799,600,0,715,855,1797,1793,840,841,840,31288,31972,30371,15,1195,5016,6000000,0,,,,,,,,,,,
1785992022.227,5,0.0304,0,2,66288,0,717,0.3845,0,2,55008,0,2616,,,0.3136,0,0,58156,0,3842,0.4654,0,1,72492,0,3953,0.4553,0,0,47284,0,3527,0.0101,0,1,37224,0,383,0.7493,1.0,1.0,1.0,0.0,1969540,29359100,55080,1795,1198,1783,1784,1783,1784,855,1797,597,719,1198,1803,1250,1,858,843,837,1798,601,0,715,857,1795,1791,839,841,842,31785,30588,31117,15,1188,5016,5960000,0,47220,40148,41531,52227,29517,26263,,,,,
1785992023.233,6,0.0099,0,2,66288,0,717,0.8217,0,2,66736,0,3016,,,0.0,0,0,58248,0,3842,0.2376,0,1,73956,0,4392,0.8712,0,0,72464,0,4687,0.0,0,1,37272,0,383,0.5851,1.0,0.3333,1.0,0.0,1942328,29359100,41440,1792,1197,1781,1782,1781,1782,854,1797,597,717,1199,1800,1251,0,859,845,843,1797,600,0,715,856,1799,1793,841,841,843,31412,30915,31769,15,1152,5015,5780000,0,,,,,,,,,,,
1785992024.19,7,0.0101,0,2,66288,0,717,1.0259,0,0,109332,0,3643,,,0.0302,0,0,58424,0,3842,0.0201,0,1,74228,0,4401,0.3118,0,0,74900,0,4937,0.0201,0,1,37524,0,383,0.4418,0.883,0.3152,0.5684,0.0,1924760,29359100,28572,1793,1198,1782,1783,1782,1783,853,1796,597,717,1197,1799,1251,0,857,844,840,1800,600,0,716,856,1796,1791,844,841,840,31054,32049,32049,15,1138,5016,5720000,0,,,,,,,,,,,
1785992025.254,8,0.164,0,1,67420,0,756,0.9452,0,2,131188,0,5141,,,0.0096,0,0,58424,0,3842,0.0193,0,2,74352,0,4415,0.0193,0,0,75188,0,4937,0.0289,0,0,37524,0,413,0.4415,0.7048,0.3654,0.7048,0.0,1928552,29359100,24520,1794,1198,1784,1783,1782,1783,854,1795,597,718,1197,1801,1251,1,857,843,842,1797,600,0,715,856,1795,1793,841,841,836,31925,30588,30137,15,1188,5016,6030000,0,,,,,,,,,,,
1785992026.245,9,0.3511,0,1,87372,0,784,0.8626,0,2,157112,0,6153,,,0.01,0,0,58424,0,3842,0.2608,0,0,87760,0,4771,0.0301,0,1,75188,0,4988,0.0401,0,0,37524,0,431,0.5501,0.6632,0.5625,0.9899,0.0,1872776,29359100,480,1793,1199,1782,1783,1782,1783,855,1797,597,718,1199,1800,1249,0,859,843,840,1799,600,0,715,858,1799,1794,841,841,840,31179,31086,30464,15,1168,5016,5860000,0,,,,,,,,,,,
1785992027.21,10,0.2493,0,1,88160,0,784,0.0416,0,2,157644,0,6153,,41692,0.0312,0,0,58652,0,3842,0.2701,0,0,95676,0,5413,0.0208,0,1,75396,0,4988,0.0208,0,0,37728,0,431,0.4786,0.5773,0.7576,0.59,0.0,1852344,29359100,2952,1793,1198,1783,1783,1782,1784,854,1795,597,716,1195,1802,1248,0,858,844,841,1801,600,0,713,857,1796,1791,840,841,842,31101,30744,29920,15,1208,5016,6060000,0,61997,112040,41097,73260,53168,26049,,1,0,1109,21949
