stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782199242,660116699,1,848,480,61.758,61.007,7.091,53.917,20.724,11.756,12.891,8.546,33.193,0.746,0.004,125.791,187.538
1782199242,794663086,1,848,480,52.578,51.88,4.975,46.906,13.061,11.751,15.491,6.602,33.844,0.693,0.005,65.028,117.582
1782199242,962896240,1,848,480,39.315,38.601,0.796,37.805,7.118,11.537,12.75,6.4,30.686,0.709,0.005,48.379,87.699
1782199242,996549561,1,848,480,38.926,38.146,0.771,37.374,7.508,11.126,12.537,6.203,29.866,0.775,0.005,54.337,93.305
1782199243,30205322,1,848,480,58.846,58.112,1.093,57.019,23.353,11.99,13.919,7.757,33.665,0.73,0.005,60.257,119.13
1782199243,97523193,1,848,480,43.826,42.915,1.842,41.073,10.297,11.631,12.368,6.776,30.776,0.903,0.008,52.114,96.033
1782199243,131185303,1,848,480,52.984,52.246,3.313,48.933,13.811,11.356,16.541,7.224,35.122,0.731,0.007,63.614,116.592
1782199243,198516602,1,848,480,105.436,104.626,0.959,103.667,23.347,18.241,45.811,16.269,80.321,0.804,0.006,49.578,155.052
1782199243,333206055,1,848,480,67.47,66.765,1.909,64.855,31.07,14.136,12.992,6.657,33.785,0.702,0.004,50.992,118.457
1782199243,400557373,1,848,480,60.316,59.466,0.9,58.566,20.772,11.878,12.587,13.328,37.793,0.845,0.006,51.397,111.755
1782199243,467620361,1,848,480,47.177,46.191,1.045,45.146,10.436,15.877,12.317,6.516,34.71,0.979,0.007,44.992,92.232
1782199243,501153320,1,848,480,41.576,40.863,1.328,39.535,8.552,10.962,12.852,7.17,30.983,0.707,0.006,60.406,101.987
1782199243,668835938,1,848,480,39.921,39.159,1.443,37.716,6.167,11.238,13.239,7.072,31.55,0.758,0.005,39.17,79.102
1782199243,769458740,1,848,480,39.663,38.902,1.6,37.302,5.987,11.601,12.663,7.051,31.315,0.756,0.006,37.149,76.823
1782199243,803001953,1,848,480,43.211,42.351,2.082,40.269,9.841,11.593,12.283,6.552,30.428,0.853,0.008,47.519,90.752
1782199243,836546387,1,848,480,51.636,50.99,5.303,45.687,13.909,11.491,12.787,7.5,31.777,0.642,0.004,57.668,109.329
1782199243,903638184,1,848,480,42.461,41.8,0.934,40.866,8.53,11.403,12.623,8.31,32.335,0.656,0.005,42.555,85.047
1782199243,937186035,1,848,480,49.439,48.738,8.631,40.107,9.578,11.331,12.274,6.925,30.53,0.694,0.007,52.678,102.119
1782199244,37835449,1,848,480,38.975,38.222,1.98,36.242,6.124,11.452,12.527,6.14,30.118,0.748,0.005,41.631,80.615
1782199244,71387695,1,848,480,44.222,43.516,1.079,42.437,7.542,16.053,12.111,6.73,34.895,0.698,0.008,47.352,91.631
1782199244,104940918,1,848,480,43.399,42.71,0.998,41.712,9.818,10.93,12.824,8.14,31.895,0.684,0.005,58.434,101.864
1782199244,205607178,1,848,480,44.964,44.272,5.126,39.147,8.648,11.33,12.752,6.417,30.499,0.688,0.004,35.266,80.222
1782199244,239165039,1,848,480,41.715,40.88,0.859,40.021,8.423,12.376,12.657,6.566,31.599,0.828,0.007,47.075,88.78
1782199244,339844727,1,848,480,38.767,38.075,0.778,37.297,6.378,11.083,12.948,6.888,30.919,0.688,0.005,35.321,74.554
1782199244,373406738,1,848,480,38.802,38.078,0.762,37.315,6.492,11.234,12.434,7.155,30.824,0.72,0.004,41.377,80.201
1782199244,473482910,1,848,480,40.023,39.328,2.514,36.814,6.232,11.33,12.63,6.622,30.582,0.69,0.004,34.291,74.31
1782199244,506739502,1,848,480,38.807,38.01,0.823,37.187,6.83,11.279,12.651,6.426,30.357,0.792,0.004,41.351,80.194
1782199244,539994873,1,848,480,44.215,43.508,0.714,42.794,8.768,14.81,12.344,6.873,34.026,0.701,0.006,47.223,91.502
1782199244,573249023,1,848,480,42.812,41.928,1.926,40.002,9.378,10.808,12.606,7.21,30.624,0.879,0.006,58.629,101.473
1782199244,673004639,1,848,480,43.155,42.432,3.454,38.978,6.123,11.346,14.511,6.998,32.855,0.718,0.005,34.721,77.882
1782199244,706254150,1,848,480,44.733,44.079,1.749,42.33,10.385,12.776,12.504,6.665,31.945,0.649,0.005,44.99,89.764
1782199244,739502686,1,848,480,54.04,53.303,10.936,42.367,9.103,12.535,12.754,7.975,33.264,0.732,0.005,56.883,110.95
1782199244,805995850,1,848,480,46.734,45.81,0.85,44.96,9.322,15.952,12.445,7.241,35.638,0.914,0.01,44.744,91.552
1782199244,839240723,1,848,480,52.525,51.706,5.277,46.43,11.187,14.706,14.052,6.483,35.242,0.813,0.005,68.54,121.063
1782199244,938968262,1,848,480,42.911,42.217,1.942,40.275,9.914,11.634,12.417,6.31,30.361,0.69,0.004,38.032,80.947
1782199244,972208496,1,848,480,40.011,38.989,0.787,38.202,7.482,11.464,12.451,6.804,30.72,1.016,0.006,47.991,88.124
1782199245,5447510,1,848,480,47.062,46.279,1.888,44.391,9.39,13.53,12.789,8.681,35.0,0.777,0.006,55.34,102.37
1782199245,105157715,1,848,480,40.129,39.391,1.571,37.82,6.512,11.94,12.955,6.413,31.308,0.733,0.005,36.89,77.029
1782199245,138392090,1,848,480,40.544,39.818,0.865,38.953,6.414,14.092,12.242,6.204,32.538,0.722,0.004,44.092,84.675
1782199245,171625244,1,848,480,45.357,44.526,0.946,43.58,12.286,11.814,12.28,7.2,31.294,0.822,0.008,51.732,97.146
1782199245,204857178,1,848,480,50.817,50.115,1.709,48.406,14.226,11.739,15.058,7.383,34.18,0.697,0.004,64.243,115.092
1782199245,271317871,1,848,480,58.427,57.723,0.936,56.787,22.627,11.091,12.451,10.618,34.16,0.699,0.005,48.904,107.367
1782199245,337773682,1,848,480,41.359,40.642,1.449,39.193,8.819,11.381,12.391,6.601,30.374,0.712,0.005,41.183,82.581
1782199245,437507813,1,848,480,39.606,38.86,1.794,37.066,6.322,11.242,12.879,6.623,30.744,0.742,0.004,38.32,77.928
1782199245,470785889,1,848,480,39.629,38.944,0.753,38.19,6.707,11.948,12.652,6.883,31.483,0.681,0.005,44.937,84.605
1782199245,504062988,1,848,480,48.572,47.888,0.8,47.087,15.131,11.95,12.619,7.388,31.956,0.678,0.007,51.616,100.233
1782199245,603889160,1,848,480,45.921,45.225,2.489,42.736,6.488,12.651,17.327,6.27,36.248,0.692,0.004,37.306,83.234
1782199245,637162842,1,848,480,40.622,39.795,0.807,38.988,7.667,12.346,12.322,6.653,31.321,0.821,0.006,50.308,90.976
1782199245,670435791,1,848,480,52.437,51.752,1.086,50.666,14.567,14.373,12.712,9.014,36.099,0.68,0.005,58.079,110.539
1782199245,736979004,1,848,480,51.34,50.562,2.497,48.065,9.193,19.5,12.325,7.047,38.872,0.769,0.009,44.27,95.662
1782199245,770249268,1,848,480,58.375,57.587,13.928,43.659,11.204,13.376,12.646,6.433,32.455,0.783,0.006,68.558,122.054
1782199245,836787354,1,848,480,41.704,40.934,1.008,39.926,9.566,10.938,12.29,7.131,30.359,0.762,0.008,55.863,97.626
1782199245,936587891,1,848,480,42.722,41.959,1.728,40.231,8.95,11.331,13.802,6.148,31.281,0.757,0.006,39.083,81.805
1782199245,969853027,1,848,480,39.653,38.734,0.826,37.909,7.429,11.538,12.674,6.267,30.48,0.912,0.007,48.854,88.556
1782199246,3117432,1,848,480,46.301,45.606,1.705,43.9,10.982,11.909,12.623,8.386,32.918,0.688,0.008,55.635,101.985
1782199246,36380859,1,848,480,45.252,44.505,5.638,38.866,8.693,11.542,12.305,6.326,30.173,0.743,0.004,69.053,114.337
1782199246,69643311,1,848,480,39.561,38.802,0.821,37.981,6.556,12.995,12.194,6.236,31.425,0.754,0.006,83.132,122.726
1782199246,169426025,1,848,480,41.721,40.982,1.463,39.519,9.17,11.383,12.642,6.323,30.349,0.735,0.004,43.089,84.813
1782199246,202685303,1,848,480,46.923,46.106,0.823,45.284,8.965,17.002,12.248,7.069,36.319,0.807,0.01,51.845,98.846
1782199246,235943604,1,848,480,47.219,46.438,7.274,39.164,7.341,11.051,12.843,7.929,31.823,0.775,0.005,66.069,113.269
1782199246,302457764,1,848,480,45.283,44.197,0.93,43.267,9.186,14.444,13.175,6.462,34.081,1.08,0.006,47.04,92.383
1782199246,335713379,1,848,480,47.268,46.46,1.123,45.338,12.913,11.816,12.423,8.186,32.425,0.802,0.006,60.558,107.822
1782199246,368968262,1,848,480,41.802,41.106,0.863,40.243,6.354,14.138,13.027,6.725,33.889,0.691,0.006,74.925,116.762
1782199246,469063965,1,848,480,41.1,40.333,1.572,38.761,8.527,11.631,12.343,6.26,30.234,0.763,0.005,40.183,81.287
1782199246,502520752,1,848,480,41.679,40.923,0.757,40.165,6.227,15.217,12.424,6.297,33.939,0.751,0.005,48.121,89.843
1782199246,535978271,1,848,480,53.915,53.164,2.357,50.807,18.185,11.164,12.847,8.611,32.621,0.747,0.004,56.711,110.656
1782199246,602894531,1,848,480,41.718,41.047,1.119,39.928,8.878,11.4,12.871,6.779,31.05,0.667,0.005,44.04,85.789
1782199246,636353516,1,848,480,42.671,41.978,0.915,41.063,9.482,11.793,12.44,7.347,31.58,0.686,0.008,53.268,100.597
1782199246,669812744,1,848,480,61.771,61.055,1.214,59.841,9.483,26.344,14.037,9.977,50.358,0.707,0.009,67.782,129.58
1782199246,736732910,1,848,480,46.699,45.932,6.489,39.442,6.549,10.977,12.543,9.373,32.893,0.761,0.006,63.023,109.748
