stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782120704,792820068,1,848,480,115.079,114.371,24.968,89.403,13.098,43.018,13.057,20.23,76.305,0.703,0.005,365.144,480.21
1782120705,195231689,1,848,480,81.623,80.904,3.354,77.55,9.496,37.214,12.03,18.81,68.054,0.713,0.006,88.539,170.162
1782120705,228774902,1,848,480,84.739,83.93,1.146,82.784,13.704,37.454,12.594,19.032,69.08,0.805,0.004,148.74,233.474
1782120705,295865723,1,848,480,92.362,91.534,5.241,86.294,9.649,38.163,12.366,26.115,76.644,0.823,0.004,176.864,269.24
1782120705,362961914,1,848,480,93.662,92.967,5.234,87.733,12.337,39.692,12.425,23.278,75.396,0.689,0.006,214.263,307.925
1782120705,396512207,1,848,480,102.161,101.422,5.748,95.674,10.398,50.081,13.135,22.059,85.275,0.735,0.004,286.614,388.742
1782120705,564318359,1,848,480,97.575,96.824,1.08,95.745,10.479,49.435,13.164,22.666,85.265,0.747,0.004,260.899,358.467
1782120705,630982666,1,848,480,102.906,102.161,4.249,97.912,10.297,51.732,13.108,22.775,87.615,0.741,0.004,307.098,409.975
1782120705,697647461,1,848,480,108.004,107.174,1.697,105.477,19.13,48.622,12.78,24.945,86.347,0.825,0.005,353.922,461.926
1782120705,897645508,1,848,480,91.862,91.033,11.613,79.419,9.109,39.065,12.912,18.334,70.31,0.822,0.007,274.247,366.144
1782120705,964312500,1,848,480,87.461,86.702,5.623,81.079,8.583,41.205,12.798,18.494,72.496,0.756,0.004,315.783,403.238
1782120706,130983154,1,848,480,85.617,84.716,6.916,77.8,8.015,39.39,12.12,18.274,69.784,0.893,0.009,246.498,332.222
1782120706,164317871,1,848,480,80.842,79.925,1.14,78.785,11.653,36.757,12.505,17.87,67.132,0.914,0.004,310.162,391.208
1782120706,364328369,0,848,480,84.035,82.947,1.167,81.78,10.716,37.429,13.401,20.234,71.064,1.084,0.004,237.396,321.442
1782120706,430999756,1,848,480,81.864,79.093,1.446,77.647,7.898,37.528,12.187,20.034,69.749,2.738,0.033,278.919,360.75
1782120706,564196045,1,848,480,104.191,103.459,1.309,102.149,10.686,55.289,12.891,23.283,91.463,0.729,0.004,244.78,348.946
1782120706,697383301,1,848,480,97.747,97.002,1.356,95.646,8.2,50.22,13.181,24.045,87.446,0.74,0.004,246.776,344.517
1782120706,797268066,1,848,480,98.755,97.572,3.507,94.065,12.156,44.572,12.316,25.02,81.909,1.177,0.006,256.054,354.837
1782120706,897147705,1,848,480,77.008,76.291,1.002,75.289,7.726,38.045,12.137,17.381,67.563,0.712,0.005,270.984,347.968
1782120706,963731445,1,848,480,79.818,79.026,3.391,75.635,7.332,37.136,12.816,18.351,68.303,0.788,0.005,309.101,388.92
1782120707,30312988,1,848,480,92.989,92.13,1.152,90.977,11.372,42.839,12.152,24.615,79.606,0.854,0.005,348.928,441.92
1782120707,230044434,1,848,480,86.666,85.937,1.797,84.14,15.868,38.541,12.57,17.161,68.272,0.726,0.004,254.611,341.265
1782120707,329902588,1,848,480,89.394,88.555,2.121,86.435,13.338,40.318,12.106,20.673,73.096,0.832,0.006,253.044,342.449
1782120707,429757568,1,848,480,81.418,80.476,1.843,78.633,9.479,38.617,12.636,17.901,69.154,0.883,0.058,253.358,334.772
1782120707,496471924,1,848,480,87.371,86.613,1.785,84.828,9.971,44.964,12.378,17.515,74.857,0.752,0.006,279.014,366.394
1782120707,596545898,1,848,480,85.141,84.07,3.846,80.225,10.764,38.083,12.814,18.565,69.461,1.066,0.004,281.44,366.567
1782120707,696623535,1,848,480,83.954,83.255,1.921,81.334,11.157,40.134,12.313,17.73,70.177,0.693,0.006,277.735,361.7
1782120707,763343750,1,848,480,84.224,83.45,1.196,82.254,12.669,38.701,12.966,17.917,69.585,0.77,0.004,318.839,403.058
