# reachmap urdf=App/Indy7/indy7.urdf seed=/home/ubuntu/.indy7_ready_seed
# q_ready = [0.465492650 -0.414549592 -2.140960980 0.168932482 0.732451146 -0.557864957]
# rmax=0.920 clamp_r=0 step=0.0100
x,y,z,verdict,w,tilt_deg,gap_rad,gap_axis,pos_err_mm,solves,ms,label
0.8280,0.2340,0.3000,PASS,0.00,2.91,0.9969,2,0.00,6,36.028,mustard_E27_flip
0.8300,0.2340,0.3000,PASS,0.00,1.03,1.1208,2,1.33,7,46.920,mustard_E27_ok
0.8310,0.2340,0.3000,BRANCH,0.00,0.00,2.9691,2,0.00,5,2.289,mustard
0.8320,0.2340,0.2990,PASS,0.01,1.82,1.1879,2,1.99,4,31.021,mustard
0.8280,0.2330,0.3030,BRANCH,0.00,0.00,2.8990,5,0.00,5,3.349,mustard
0.8300,0.2380,0.3010,BRANCH,0.00,0.00,2.8674,2,0.00,5,8.208,mustard
0.8310,0.2400,0.2950,BRANCH,0.00,0.00,2.9700,2,0.00,5,15.234,mustard
0.8340,0.2400,0.2970,BRANCH,0.00,0.00,2.8958,5,0.00,5,17.183,mustard
0.8350,0.2230,0.3110,BRANCH,0.00,0.00,3.0987,0,0.00,5,15.551,mustard
0.8270,0.2340,0.1510,PASS,0.30,0.00,0.9296,2,0.00,1,0.179,mustard_low
0.8270,0.2340,0.1500,PASS,0.30,0.00,0.9298,2,0.00,1,0.310,mustard_low
0.8330,0.2340,0.1490,PASS,0.30,0.00,0.9539,2,0.00,1,0.176,mustard_low
0.8790,0.0490,0.3390,PASS,0.30,0.00,0.7610,2,0.00,1,0.172,orange
0.8780,0.0510,0.3350,PASS,0.30,0.00,0.7597,2,0.00,1,0.171,orange
0.8820,0.0500,0.3380,PASS,0.30,0.00,0.7728,2,0.00,1,0.172,orange
0.8770,0.0500,0.1860,PASS,0.30,0.00,0.7767,2,0.00,1,0.172,orange_low
0.8750,-0.1720,0.1300,PASS,0.30,0.00,0.8429,1,0.00,1,0.200,banana_low
0.8730,-0.1720,0.2800,PASS,0.30,0.00,0.9193,3,0.00,1,0.200,banana
0.8700,-0.1550,0.2770,PASS,0.30,0.00,0.8713,3,0.00,1,0.200,banana
0.8810,-0.1660,0.2860,PASS,0.30,0.00,0.9235,3,0.00,1,0.199,banana
0.8140,-0.1630,0.2820,PASS,0.30,0.00,0.8329,3,0.00,1,0.185,apple
0.8100,-0.3170,0.3490,PASS,0.30,0.00,1.2848,3,0.00,1,0.198,tennis
0.8410,-0.1020,0.1790,PASS,0.30,0.00,0.6764,1,0.00,1,0.198,apple_preE21_frame
