stamp_sec,stamp_nanosec,count,image_w,image_h,processing_ms,detect_ms,img_ms,worker_call_ms,ipc_overhead_ms,pre_ms,dpu_ms,post_ms,worker_ms,detection_publish_ms,overlay_ms,age_in_ms,frame_age_ms
1782128453,355821289,0,848,480,65.635,62.764,22.021,40.743,10.996,11.295,12.654,5.799,29.747,2.863,0.007,334.991,400.638
1782128453,555672852,0,848,480,44.704,43.966,1.983,41.983,13.613,11.08,12.117,5.173,28.37,0.732,0.007,226.822,271.542
1782128453,588979248,1,848,480,40.71,39.942,1.019,38.923,8.235,12.026,12.165,6.498,30.689,0.762,0.006,258.65,299.37
1782128453,655590576,1,848,480,44.177,43.376,1.31,42.067,11.391,11.209,12.122,7.345,30.675,0.794,0.007,257.093,301.287
1782128453,822108398,0,848,480,37.039,36.408,1.006,35.403,7.319,11.342,12.068,4.674,28.083,0.626,0.004,218.965,256.011
1782128453,855410156,1,848,480,38.446,37.743,1.017,36.726,7.314,11.079,12.175,6.158,29.412,0.697,0.006,248.747,287.191
1782128454,55208252,0,848,480,40.586,39.647,1.658,37.989,9.599,11.484,12.146,4.76,28.39,0.935,0.004,229.483,270.085
1782128454,88505859,0,848,480,54.385,53.73,7.481,46.248,13.151,14.099,12.786,6.213,33.098,0.65,0.006,254.375,308.741
1782128454,121802979,1,848,480,46.563,45.844,4.787,41.058,11.418,11.256,12.104,6.279,29.64,0.715,0.004,296.547,343.102
1782128454,221604492,1,848,480,44.827,43.997,1.143,42.855,11.328,11.406,12.54,7.58,31.526,0.824,0.005,253.577,298.41
1782128454,321574219,0,848,480,45.608,42.188,3.516,38.672,8.728,12.386,12.593,4.965,29.944,3.41,0.009,210.699,256.45
1782128454,354896729,0,848,480,38.428,37.422,1.801,35.621,7.154,11.102,12.311,5.054,28.467,0.995,0.011,247.287,285.743
1782128454,421540527,0,848,480,37.341,36.613,1.198,35.415,7.106,11.382,12.225,4.702,28.309,0.723,0.004,240.976,278.318
1782128454,454861816,0,848,480,47.514,46.739,3.272,43.467,8.656,16.616,13.346,4.848,34.81,0.768,0.007,255.264,302.739
1782128454,554823486,0,848,480,53.363,52.64,5.17,47.47,12.785,17.007,12.89,4.788,34.685,0.719,0.004,218.061,271.434
1782128454,588143311,0,848,480,45.01,44.255,1.711,42.544,11.629,11.684,12.973,6.26,30.916,0.747,0.007,251.896,296.909
1782128454,688100098,1,848,480,54.546,53.735,1.855,51.88,10.249,15.235,16.262,10.133,41.631,0.807,0.004,209.508,263.946
1782128454,788053467,1,848,480,57.783,57.012,4.963,52.049,12.465,16.806,13.842,8.936,39.584,0.767,0.005,175.433,233.215
1782128454,821370605,0,848,480,47.765,47.113,1.828,45.285,10.203,11.17,18.878,5.035,35.082,0.646,0.006,210.96,258.728
1782128454,888003418,1,848,480,46.187,44.857,4.939,39.918,9.706,11.117,12.305,6.789,30.211,1.323,0.008,203.059,249.279
1782128454,987949707,0,848,480,38.601,37.474,1.136,36.338,8.151,11.191,12.165,4.83,28.187,1.12,0.007,229.033,267.868
1782128455,21264404,1,848,480,46.467,45.45,1.325,44.124,8.005,14.331,12.876,8.912,36.119,1.009,0.009,261.609,308.085
1782128455,87892578,2,848,480,48.533,47.508,1.823,45.685,10.776,14.988,12.687,7.235,34.909,1.017,0.008,256.929,305.492
1782128455,287810791,1,848,480,46.331,45.425,5.585,39.841,9.451,11.44,12.235,6.714,30.389,0.899,0.007,240.88,287.225
1782128455,421088135,2,848,480,46.371,45.607,1.929,43.678,9.854,13.783,12.707,7.333,33.824,0.758,0.006,238.628,284.992
1782128455,587676514,0,848,480,44.227,43.5,1.054,42.446,9.146,14.431,12.819,6.05,33.299,0.723,0.004,201.884,246.113
1782128455,720940674,1,848,480,46.717,45.985,1.187,44.799,9.631,14.303,12.759,8.106,35.168,0.728,0.004,199.531,246.208
1782128455,820884766,1,848,480,44.172,43.028,1.86,41.168,10.513,11.058,12.106,7.492,30.655,1.137,0.007,233.198,277.409
1782128455,854198730,0,848,480,41.666,40.898,1.913,38.986,7.284,11.149,12.924,7.628,31.702,0.762,0.006,272.46,314.12
1782128456,54075195,0,848,480,42.429,41.457,0.996,40.46,8.115,14.617,12.702,5.027,32.345,0.964,0.008,253.444,295.946
1782128456,120698730,0,848,480,45.513,44.709,1.206,43.503,10.733,14.236,12.788,5.745,32.769,0.798,0.006,251.868,297.378
1782128456,186851074,0,848,480,40.456,39.747,1.93,37.817,8.783,11.89,12.248,4.896,29.034,0.705,0.004,246.003,286.45
1782128456,320811035,0,848,480,41.097,40.448,1.023,39.425,7.813,13.893,12.676,5.043,31.613,0.643,0.006,241.304,282.405
1782128456,387796631,0,848,480,37.346,36.599,1.077,35.522,7.132,11.452,12.206,4.731,28.39,0.742,0.005,242.752,280.08
1782128456,421291016,1,848,480,53.594,52.936,1.186,51.75,16.575,14.005,13.008,8.162,35.175,0.654,0.005,262.331,315.919
1782128456,454786133,0,848,480,44.53,43.51,1.139,42.372,13.754,11.458,12.394,4.767,28.618,1.016,0.004,293.651,338.203
1782128456,555277344,0,848,480,44.081,42.888,1.935,40.952,11.722,11.526,12.513,5.191,29.23,1.121,0.072,252.917,297.019
1782128456,655776855,2,848,480,47.596,46.759,4.458,42.301,11.018,11.141,12.605,7.536,31.283,0.832,0.005,216.001,263.645
1782128456,689278564,0,848,480,39.928,39.244,1.434,37.809,9.066,11.101,12.466,5.176,28.743,0.679,0.006,247.187,287.126
